,@timestamp,event.module,event.dataset,event.action,event.outcome,host.name,process.name,source.ip,message,log.file.path
1922934,2015-08-22T00:00:39.000Z,windows,cbs,system_update,Info,,CBS,,"Loading offline registry hive: SOFTWARE, into registry key '{bf1a281b-ad7b-4476-ac95-f47682990ce7}GLOBALROOT/Device/HarddiskVolumeShadowCopy34/Windows/System32/config/SOFTWARE' from path '\\?\GLOBALROOT\Device\HarddiskVolumeShadowCopy34\Windows\System32\config\SOFTWARE'.",sample_data\Windows.log
1922944,2015-08-22T00:00:39.000Z,windows,cbs,system_update,Info,,CSI,,00002f63 CSI Store 2656725808 (0x000000009e5a6b30) initialized,sample_data\Windows.log
1922943,2015-08-22T00:00:39.000Z,windows,cbs,system_update,Info,,CBS,,"Disabling manifest caching, because the image is not writeable.",sample_data\Windows.log
1922942,2015-08-22T00:00:39.000Z,windows,cbs,system_update,Info,,CBS,,Offline image is: read-only,sample_data\Windows.log
1922941,2015-08-22T00:00:39.000Z,windows,cbs,system_update,Info,,CBS,,"Loading offline registry hive: schema.dat, into registry key '{bf1a281b-ad7b-4476-ac95-f47682990ce7}GLOBALROOT/Device/HarddiskVolumeShadowCopy34/Windows/system32/smi/store/Machine/schema.dat' from path '\\?\GLOBALROOT\Device\HarddiskVolumeShadowCopy34\Windows\system32\smi\store\Machine\schema.dat'.",sample_data\Windows.log
1922940,2015-08-22T00:00:39.000Z,windows,cbs,system_update,Info,,CBS,,"Loading offline registry hive: ntuser.dat, into registry key '{bf1a281b-ad7b-4476-ac95-f47682990ce7}GLOBALROOT/Device/HarddiskVolumeShadowCopy34/Users/default/ntuser.dat' from path '\\?\GLOBALROOT\Device\HarddiskVolumeShadowCopy34\Users\default\ntuser.dat'.",sample_data\Windows.log
1922945,2015-08-22T00:00:39.000Z,windows,cbs,system_update,Info,,CBS,,Session: 1368_319977756 initialized by client SPP.,sample_data\Windows.log
1922938,2015-08-22T00:00:39.000Z,windows,cbs,system_update,Info,,CBS,,"Loading offline registry hive: COMPONENTS, into registry key '{bf1a281b-ad7b-4476-ac95-f47682990ce7}GLOBALROOT/Device/HarddiskVolumeShadowCopy34/Windows/System32/config/COMPONENTS' from path '\\?\GLOBALROOT\Device\HarddiskVolumeShadowCopy34\Windows\System32\config\COMPONENTS'.",sample_data\Windows.log
1922937,2015-08-22T00:00:39.000Z,windows,cbs,system_update,Info,,CBS,,"Loading offline registry hive: SAM, into registry key '{bf1a281b-ad7b-4476-ac95-f47682990ce7}GLOBALROOT/Device/HarddiskVolumeShadowCopy34/Windows/System32/config/SAM' from path '\\?\GLOBALROOT\Device\HarddiskVolumeShadowCopy34\Windows\System32\config\SAM'.",sample_data\Windows.log
1922936,2015-08-22T00:00:39.000Z,windows,cbs,system_update,Info,,CBS,,"Loading offline registry hive: SECURITY, into registry key '{bf1a281b-ad7b-4476-ac95-f47682990ce7}GLOBALROOT/Device/HarddiskVolumeShadowCopy34/Windows/System32/config/SECURITY' from path '\\?\GLOBALROOT\Device\HarddiskVolumeShadowCopy34\Windows\System32\config\SECURITY'.",sample_data\Windows.log
1922935,2015-08-22T00:00:39.000Z,windows,cbs,system_update,Info,,CBS,,"Loading offline registry hive: SYSTEM, into registry key '{bf1a281b-ad7b-4476-ac95-f47682990ce7}GLOBALROOT/Device/HarddiskVolumeShadowCopy34/Windows/System32/config/SYSTEM' from path '\\?\GLOBALROOT\Device\HarddiskVolumeShadowCopy34\Windows\System32\config\SYSTEM'.",sample_data\Windows.log
1922939,2015-08-22T00:00:39.000Z,windows,cbs,system_update,Info,,CBS,,"Loading offline registry hive: DEFAULT, into registry key '{bf1a281b-ad7b-4476-ac95-f47682990ce7}GLOBALROOT/Device/HarddiskVolumeShadowCopy34/Windows/System32/config/DEFAULT' from path '\\?\GLOBALROOT\Device\HarddiskVolumeShadowCopy34\Windows\System32\config\DEFAULT'.",sample_data\Windows.log
1923013,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Failure,,CBS,,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1923022,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Failure,,CBS,,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1923021,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1923020,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1923019,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Failure,,CBS,,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1923018,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1923017,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1923016,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Failure,,CBS,,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1923015,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1923014,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1923012,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1923006,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Failure,,CBS,,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1923010,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1923009,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Failure,,CBS,,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1923008,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1923007,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1923023,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1923005,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1923004,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1923003,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Failure,,CBS,,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1923002,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1923001,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1923000,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Failure,,CBS,,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1923011,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1923024,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1923030,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1923026,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Failure,,CBS,,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1923049,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1923048,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Failure,,CBS,,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1923047,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1923046,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1923045,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Failure,,CBS,,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1923044,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1923043,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1923042,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Failure,,CBS,,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1923041,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1923040,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1923039,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Failure,,CBS,,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1923038,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
